linha_original,protocolo,empreendimento,campo,problema,gravidade,recomendacao
1042,120857568,PCH BANDEIRANTES DO NORTE,tipologia/potencia,Potência 4.2 MW incompatível com a tipologia PCH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
1043,162889516,PCH BARBOSA FERRAZ,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1044,54899963,PCH BEDIM,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1045,156288667,PCH BEDIM,data_validade,Licença vencida em 2022-11-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1046,166843863,PCH BEDIM,data_validade,Licença vencida em 2022-08-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1047,168961553,PCH BEDIM,data_validade,Licença vencida em 2024-10-19,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1050,191602480,PCH BEIRA RIO,data_validade,Licença vencida em 2026-04-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1052,79488062,PCH BELA VISTA,data_validade,Licença vencida em 2015-11-13,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1053,138234835,PCH BELA VISTA,data_validade,Licença vencida em 2021-05-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1054,169692505,PCH BELA VISTA,data_validade,Licença vencida em 2022-12-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1055,172995780,PCH BELA VISTA,data_validade,Licença vencida em 2026-05-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1057,133549447,PCH BOA VISTA II,data_validade,Licença vencida em 2019-09-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1058,78431342,PCH BOA VISTA II,data_validade,Licença vencida em 2023-08-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1059,146071333,PCH BOA VISTA II,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1060,149362754,PCH BOA VISTA II,data_validade,Licença vencida em 2021-12-11,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1061,189590407,PCH BOA VISTA II,data_validade,Licença vencida em 2023-09-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1062,136445111,PCH BOM RETIRO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1063,59698257,PCH BONANZA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1064,78403411,PCH BONITO A,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1065,79483923,PCH BONITO A,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1066,79486981,PCH BONITO B,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1068,52310741,PCH BURRO BRANCO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1069,55805652,PCH BURRO BRANCO,data_validade,Licença vencida em 2012-11-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1070,78410671,PCH BURRO BRANCO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1071,170035593,PCH BURRO BRANCO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1072,136135147,PCH BUTIÁ,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1073,55790213,PCH CANHADÃO,data_validade,Licença vencida em 2015-10-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1074,133397981,PCH CANHADÃO,data_validade,Licença vencida em 2016-11-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1075,141860674,PCH CANHADÃO,data_validade,Licença vencida em 2018-12-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1076,148007497,PCH CANHADÃO,data_validade,Licença vencida em 2021-10-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1077,177123200,PCH CANHADÃO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1078,203127529,PCH CANTU 1,data_validade,Licença vencida em 2025-09-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1079,77794956,PCH CANTU 1,data_validade,Licença vencida em 2013-12-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1080,117055426,PCH CANTU 1,data_validade,Licença vencida em 2017-11-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1083,52291160,PCH CANTU 2,data_validade,Licença vencida em 2013-12-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1084,79839841,PCH CANTU 2,data_validade,Licença vencida em 2015-10-22,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1085,135737917,PCH CANTU 2,data_validade,Licença vencida em 2016-05-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1086,137946807,PCH CANTU 2,data_validade,Licença vencida em 2019-12-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1089,77794964,PCH CANTU 3,data_validade,Data de validade suspeita (anterior à data de emissão): 2013-12-20,CRITICO,Conferir/corrigir a data de validade (provável erro de digitação ou conversão)
1090,118186710,PCH CANTU 3,data_validade,Licença vencida em 2017-11-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1092,121137640,PCH CAPELA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1093,53310761,PCH CARATUVA,data_validade,Licença vencida em 2012-12-29,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1094,118186281,PCH CARATUVA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1096,78403438,PCH CASCUDO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1097,79483915,PCH CASCUDO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1098,179485109,PCH CATANDUVA,data_validade,Licença vencida em 2023-08-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1099,153248427,PCH CATANDUVA,situacao,Situação do processo ausente,MEDIO,Preencher situação atual do processo
1099,153248427,PCH CATANDUVA,data_protocolo,Data de protocolo ausente,MEDIO,Preencher a data de protocolo do processo
1099,153248427,PCH CATANDUVA,potencia,Potência (MW) ausente,BAIXO,Preencher a potência solicitada em MW
1101,77485015,PCH CAVERNOSO II,data_validade,Licença vencida em 2012-07-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1102,78392185,PCH CAVERNOSO II,data_validade,Licença vencida em 2012-12-21,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1103,79641596,PCH CAVERNOSO II,data_validade,Licença vencida em 2018-09-21,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1104,151908470,PCH CAVERNOSO II,data_validade,Licença vencida em 2022-09-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1106,149895426,PCH CAVERNOSO III,data_validade,Licença vencida em 2021-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1107,168331576,PCH CAVERNOSO III,data_validade,Licença vencida em 2024-05-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1108,194628188,PCH CAVERNOSO III,data_validade,Licença vencida em 2023-10-21,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1110,145540372,PCH CAVERNOSO IV,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1111,163751496,PCH CAVERNOSO IV,data_validade,Licença vencida em 2024-03-31,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1112,189257333,PCH CAVERNOSO IV,data_validade,Licença vencida em 2023-09-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1114,146559131,PCH CAVERNOSO VIII,data_validade,Licença vencida em 2026-02-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1116,49470894,PCH CHAMINÉ,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
1117,78834455,PCH CHAMINÉ,data_validade,Licença vencida em 2015-10-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1118,156352497,PCH CHAMINÉ,data_validade,Licença vencida em 2023-05-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
