linha_original,protocolo,empreendimento,campo,problema,gravidade,recomendacao
419,183870530,CGH JOPEVI,data_validade,Licença vencida em 2023-02-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
421,138025810,CGH JUDAS TADEU,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
422,79745618,CGH JUSSARA,data_validade,Licença vencida em 2019-08-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
423,157235133,CGH JUSSARA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
425,133090002,CGH KM 10,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
426,135538566,CGH KM 14,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
426,135538566,CGH KM 14,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
427,158178621,CGH KOESTER,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
428,150826047,CGH KUARAYTU,data_validade,Licença vencida em 2021-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
430,182569585,CGH LAGOA CRISTAL,data_validade,Licença vencida em 2022-12-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
432,182359580,CGH LAGOA DOURADA,data_validade,Licença vencida em 2022-12-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
434,140706191,CGH LAJEADO,data_validade,Licença vencida em 2022-05-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
435,197200073,CGH LAJEADO (Piquiri),data_validade,Licença vencida em 2025-05-16,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
436,160005815,CGH LAJEADO (Piquiri),tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
437,158480611,CGH LAJEADO GRANDE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
438,135326089,CGH LAMBARI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
439,72678591,CGH LARA E REITMEYER,data_validade,Licença vencida em 2013-10-16,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
440,120851047,CGH LARA E REITMEYER,data_validade,Licença vencida em 2021-09-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
441,78120738,CGH LARANJINHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
442,79965235,CGH LARANJINHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
443,150265053,CGH LARANJINHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
444,153853584,CGH LARANJINHA (NOVO 078120738),tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
446,120852230,CGH LIBERA MARIA,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
447,162806513,CGH LIBERA MARIA,data_validade,Licença vencida em 2023-06-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
448,181646209,CGH LIBERA MARIA,data_validade,Licença vencida em 2023-01-31,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
451,186189221,CGH LIELL,data_validade,Licença vencida em 2023-07-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
452,182128333,CGH LIKES,data_validade,Licença vencida em 2022-10-28,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
455,186148843,CGH LIMEIRA,data_validade,Licença vencida em 2024-12-14,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
456,157627740,CGH LIMEIRA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
459,138559580,CGH LIRA MEIRELES,data_validade,Licença vencida em 2019-08-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
460,148050929,CGH LIRA MEIRELES,data_validade,Licença vencida em 2020-10-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
461,180769226,CGH LISE,data_validade,Licença vencida em 2023-10-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
463,220165590,CGH LISE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
464,57679255,CGH LONTRAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
465,79374199,CGH LONTRAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
466,160940778,CGH LOPEÍ,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
466,160940778,CGH LOPEÍ,tipologia/potencia,Potência 0.15 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
470,183849590,CGH MAMBORÊ,data_validade,Licença vencida em 2022-12-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
471,159030067,CGH MANDURI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
472,185352200,CGH MANDURI,data_validade,Licença vencida em 2023-02-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
474,135325481,CGH MANDURIM - MARRECAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
475,77036830,CGH MANOEL RIBAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
475,77036830,CGH MANOEL RIBAS,potencia,Potência (MW) ausente,BAIXO,Preencher a potência solicitada em MW
476,121133180,CGH MANOELA,data_validade,Licença vencida em 2017-03-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
477,141604309,CGH MANOELA,data_validade,Licença vencida em 2020-02-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
478,161591157,CGH MANOELA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
479,181327995,CGH MARAVILHA,data_validade,Licença vencida em 2023-11-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
480,166937515,CGH MARAVILHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
485,138227707,CGH MARCÃO,data_validade,Licença vencida em 2019-08-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
486,120786385,CGH MARCELÂNDIA,data_validade,Licença vencida em 2018-06-21,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
487,148205027,CGH MARCELÂNDIA,data_validade,Licença vencida em 2020-10-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
488,163859203,CGH MARCELÂNDIA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
489,166503272,CGH MARCELÂNDIA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
490,138227685,CGH MARFIL,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
491,135810037,CGH MARIA CAVALEIRA (SALTINHO),data_validade,Licença vencida em 2018-10-13,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
492,154132287,CGH MARIA CAVALEIRA (SALTINHO),data_validade,Licença vencida em 2024-01-29,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
493,211003626,CGH MARIA CAVALEIRA (SALTINHO),data_validade,Licença vencida em 2025-07-11,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
498,146962050,CGH MARREQUINHA,data_validade,Licença vencida em 2020-10-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
499,154220780,CGH MARREQUINHA,data_validade,Licença vencida em 2023-03-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
504,144948319,CGH MARREQUINHA I,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
506,146909027,CGH MARREQUINHA II,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
507,49471432,CGH MARUMBI,data_validade,Licença vencida em 2007-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
508,78949368,CGH MARUMBI,data_validade,Licença vencida em 2015-11-22,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
509,137020955,CGH MARUMBI,data_validade,Licença vencida em 2023-05-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
511,182048909,CGH MAURIVAN FREITAS,data_validade,Licença vencida em 2023-07-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
512,19.902.708-5,CGH MAURIVAN FREITAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
514,140229407,CGH MEIRELES,data_validade,Licença vencida em 2025-12-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
518,49471416,CGH MELISSA,data_validade,Licença vencida em 2006-04-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
519,88346866,CGH MELISSA,data_validade,Licença vencida em 2009-03-13,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
520,119811171,CGH MELISSA,data_validade,Licença vencida em 2023-06-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
522,180972552,CGH MERCEDES,data_validade,Licença vencida em 2023-09-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
524,91651610,CGH MOINHO,data_validade,Licença vencida em 2008-12-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
525,72675851,CGH MOINHO,data_validade,Licença vencida em 2025-07-16,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
526,120216007,CGH MOINHO,data_validade,Licença vencida em 2015-12-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
527,134572990,CGH MOINHO,data_validade,Licença vencida em 2019-04-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
528,155065460,CGH MOINHO,data_validade,Licença vencida em 2023-05-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
531,143179907,CGH MOINHO CAPANEMA,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
532,159388964,CGH MOINHO CAPANEMA,data_validade,Licença vencida em 2024-05-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
535,154414495,CGH MONDAY,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
536,199318861,CGH MONTANA,data_validade,Licença vencida em 2024-12-14,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
537,184589923,CGH MORRO BRANCO,data_validade,Licença vencida em 2023-03-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
539,121137623,CGH NASCENTE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
540,77483330,CGH NÉVIO ÚRIO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
540,77483330,CGH NÉVIO ÚRIO,latitude/longitude,Mesma coordenada usada por 3 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
541,181175648,CGH NILDO ZIN,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
544,136342142,CGH NOGUEIRA,data_validade,Licença vencida em 2018-10-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
545,143302199,CGH NOGUEIRA,data_validade,Licença vencida em 2019-11-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
546,160140666,CGH NOGUEIRA,data_validade,Licença vencida em 2021-12-13,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
548,181449462,CGH NOGUEIRA,data_validade,Licença vencida em 2023-12-16,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
549,142344220,CGH NORTE PIONEIRO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
550,186184319,CGH NOSSA SENHORA APARECIDA,data_validade,Licença vencida em 2024-10-28,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
552,164884007,CGH NOSSA SENHORA APARECIDA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
553,221073916,CGH NOSSA SENHORA DE FÁTIMA,data_validade,Licença vencida em 2026-03-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
554,79883360,CGH NOSSA SENHORA DE FÁTIMA,data_validade,Licença vencida em 2019-08-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
555,157236547,CGH NOSSA SENHORA DE FÁTIMA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
556,78926910,CGH NOSSA SENHORA DE LOURDES,data_validade,Licença vencida em 2015-10-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
557,132810133,CGH NOSSA SENHORA DE LOURDES,data_validade,Licença vencida em 2019-06-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
558,161924610,CGH NOSSA SENHORA DE LOURDES,data_validade,Licença vencida em 2022-01-14,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
559,162077899,CGH NOSSA SENHORA DE LOURDES,data_validade,Licença vencida em 2021-03-16,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
560,170085906,CGH NOSSA SENHORA DE LOURDES,data_validade,Licença vencida em 2026-04-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
561,150361419,CGH NOVA AURORA,data_validade,Licença vencida em 2023-05-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
561,150361419,CGH NOVA AURORA,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
562,23.51.671-0,CGH NOVA AURORA,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
563,160005050,CGH NOVA ESPERANÇA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
565,75856814,CGH NOVA FÁTIMA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
566,181365064,CGH NOVA GERAÇÃO,data_validade,Licença vencida em 2022-12-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
569,130715818,CGH NOVA RIQUEZA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
571,139349156,CGH NOVO HORIZONTE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
572,121990555,CGH ORION 1,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
573,121990563,CGH ORION 2,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
574,138227812,CGH OSMÁRIO SARAIVA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
575,50379337,CGH OURO BRANCO,data_validade,Licença vencida em 2015-11-19,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
576,134664584,CGH OURO BRANCO,data_validade,Licença vencida em 2019-06-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
577,157742850,CGH OURO BRANCO,data_validade,Licença vencida em 2019-05-27,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
579,56031103,CGH OURO VERDE,data_validade,Licença vencida em 2021-07-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
580,170305671,CGH OURO VERDE,data_validade,Licença vencida em 2024-10-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
584,82903437,CGH PADOVANI,data_validade,Licença vencida em 2006-06-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
585,89673194,CGH PADOVANI,data_validade,Licença vencida em 2009-06-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
586,76330042,CGH PADOVANI,data_validade,Licença vencida em 2013-11-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
587,118388364,CGH PADOVANI,data_validade,Licença vencida em 2017-08-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
588,146851258,CGH PADOVANI,data_validade,Licença vencida em 2022-08-22,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
589,88358589,CGH PAINA II,data_validade,Licença vencida em 2011-04-16,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
590,78539445,CGH PAINA II,data_validade,Licença vencida em 2015-04-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
591,134350032,CGH PAINA II,data_validade,Licença vencida em 2020-10-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
594,219344562,CGH PALMERINHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
595,184303221,CGH PALMITAL,data_validade,Licença vencida em 2023-03-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
596,138861678,CGH PALMITAL,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
597,56067752,CGH PALMITAL 1,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
598,56067760,CGH PALMITAL 2,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
599,56067779,CGH PALMITAL 3,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
600,53214894,CGH PALMITAL DO MEIO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
601,118015509,CGH PAMPEANA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
602,147143630,CGH PAMPEANA,data_validade,Licença vencida em 2021-09-27,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
603,199447378,CGH PAMPEANA,data_validade,Licença vencida em 2025-02-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
606,120374672,CGH PARQUE,data_validade,Licença vencida em 2016-10-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
607,140970832,CGH PARQUE,data_validade,Licença vencida em 2018-09-21,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
608,149881395,CGH PARQUE,data_validade,Licença vencida em 2022-04-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
610,187528453,CGH PARQUE DA CACHOEIRA DE CIMA,data_validade,Licença vencida em 2023-07-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
613,186248236,CGH PATO,data_validade,Licença vencida em 2023-06-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
615,183469460,CGH PAU D'ALHO,data_validade,Licença vencida em 2022-12-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
616,227796669,CGH PEABIRU,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
617,181243392,CGH PEABIRU,data_validade,Licença vencida em 2023-02-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
618,151488471,CGH PEABIRU,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
620,138025578,CGH PEDRA GRANDE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
622,140717770,CGH PERBONE,data_validade,Licença vencida em 2020-02-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
623,152145020,CGH PERBONE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
624,188973175,CGH PERBONE,data_validade,Licença vencida em 2023-11-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
626,203067607,CGH PERDONCINI,tipologia/potencia,Potência 0.75 MW incompatível com a tipologia MCH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
627,159859045,CGH PERDONCINI,data_validade,Licença vencida em 2023-02-15,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
627,159859045,CGH PERDONCINI,tipologia/potencia,Potência 0.75 MW incompatível com a tipologia MCH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
629,144880498,CGH PICA PAU,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
631,152875126,CGH PIEDADE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
633,181209690,CGH PINDAÚVA,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
634,155902370,CGH PINDAÚVA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
635,140707333,CGH PINDORAMA,data_validade,Licença vencida em 2019-08-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
636,151565379,CGH PINDORAMA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
637,177389293,CGH PINDORAMA,data_validade,Licença vencida em 2023-02-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
639,121816539,CGH PINHALÃO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
641,120961713,CGH PINHEIROS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
642,146739075,CGH PINHO FLECK,data_validade,Licença vencida em 2022-08-22,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
644,133946934,CGH PINHO PAST,data_validade,Licença vencida em 2020-10-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
647,120850547,CGH PIQUIRI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
649,156165298,CGH PIRÂMIDE,data_validade,Licença vencida em 2024-07-13,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
652,185517683,CGH PITANGA,data_validade,Licença vencida em 2024-10-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
654,189109806,CGH PITANGA (CITO),data_validade,Licença vencida em 2023-07-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
655,152873719,CGH PITANGA (CITO),tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
656,203954190,CGH PITANGA (CITO),tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
659,164200035,CGH PITANGA 1,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
660,40187650,CGH PITANGUI,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
661,49471424,CGH PITANGUI,data_validade,Licença vencida em 2007-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
662,93837339,CGH PITANGUI,data_validade,Licença vencida em 2011-06-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
663,78675780,CGH PITANGUI,data_validade,Licença vencida em 2015-06-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
664,134899492,CGH PITANGUI,data_validade,Licença vencida em 2019-07-15,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
666,138227804,CGH PITICO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
667,180824073,CGH POCLAIN,data_validade,Licença vencida em 2023-09-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
668,170601696,CGH POCLAIN,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
669,131988893,CGH PONTE,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
671,139427483,CGH PONTE (MARMELEIRO),tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
673,137626616,CGH PRAIA DAS VACAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
674,186189280,CGH PRESOTTO,data_validade,Licença vencida em 2023-07-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
675,164037320,CGH PRESOTTO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
676,159361454,CGH PROCHNAU,data_validade,Licença vencida em 2023-10-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
676,159361454,CGH PROCHNAU,tipologia/potencia,Potência 0.31 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
677,149809945,CGH PROGRESSO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
677,149809945,CGH PROGRESSO,potencia,Potência (MW) ausente,BAIXO,Preencher a potência solicitada em MW
681,140710075,CGH RANCHO MUNDO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
683,182191221,CGH REALEZA,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
684,174064113,CGH REALEZA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
686,185885640,CGH REINHOFER,data_validade,Licença vencida em 2023-02-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
687,72679490,CGH REINHOFER,data_validade,Licença vencida em 2014-04-16,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
688,130840787,CGH REINHOFER,data_validade,Licença vencida em 2018-04-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
689,149708944,CGH REINHOFER,data_validade,Licença vencida em 2022-05-11,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
690,183176757,CGH RESTINGA,data_validade,Licença vencida em 2022-12-14,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
691,77036792,CGH RIBEIRÃO DO PINHAL,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
692,138340449,CGH RINCÃO DA PONTE,data_validade,Licença vencida em 2023-01-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
693,99305789,CGH RINCÃO DA PONTE,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
694,78531940,CGH RINCÃO DA PONTE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
696,191293533,CGH RINCÃO DO BICHO,data_validade,Licença vencida em 2026-04-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
697,157821040,CGH RINCÃO DO BICHO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
701,88369130,CGH RIO BONITO II,data_validade,Licença vencida em 2008-10-29,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
702,72457943,CGH RIO BONITO II,data_validade,Licença vencida em 2012-02-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
703,79279633,CGH RIO BONITO II,data_validade,Licença vencida em 2018-07-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
706,79147516,CGH RIO BONITO III,data_validade,Licença vencida em 2020-07-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
708,149779230,CGH RIO CACHOEIRA,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
